Example,Embedding,NLI,Accuracy,Completeness,Relevance,Clarity,JCJS
1,0.8729,0.5785,0.0,0.119,0.5485,0.6844,0.5319
2,0.6762,0.4928,0.1429,0.3864,0.3194,0.7268,0.4892
3,0.6961,0.6453,0.0,0.0571,0.4701,0.4617,0.459
4,0.7972,0.7334,0.6667,0.2667,0.5564,0.6309,0.6477
5,0.6453,0.9406,0.0,0.2649,0.3452,0.7351,0.5646
6,0.7705,0.5259,0.3333,0.0727,0.4878,0.6622,0.5186
7,0.7867,0.6025,0.0,0.0,0.5357,0.5825,0.4871
8,0.6827,0.2762,0.3333,0.1333,0.4735,0.6574,0.4394
9,0.8304,0.4261,0.2,0.0,0.4458,0.563,0.4652
10,0.7204,0.573,0.8,0.3923,0.5527,0.6376,0.6212
11,0.742,0.618,0.25,0.1727,0.5044,0.6164,0.5329
12,0.8456,0.4715,0.2727,0.0949,0.6552,0.7431,0.55
13,0.7147,0.4841,0.0,0.2,0.4835,0.7363,0.4772
14,0.8105,0.3065,0.0,0.34,0.4302,0.7477,0.469
15,0.6835,0.4564,0.2,0.3341,0.4281,0.7328,0.4968
16,0.7892,0.2736,0.0,0.1667,0.416,0.6327,0.4176
17,0.6542,0.5536,0.0,0.32,0.3884,0.8314,0.4944
18,0.6142,0.6105,0.5,0.3608,0.5194,0.7162,0.5682
19,0.7519,0.6366,0.0,0.0,0.6298,0.6527,0.5074
20,0.6539,0.8162,0.5714,0.3619,0.4215,0.6102,0.6132
21,0.7885,0.7058,0.0,0.1333,0.3815,0.7648,0.5335
22,0.7376,0.7985,0.0,0.0727,0.4669,0.6172,0.5286
23,0.7322,0.5072,0.375,0.2909,0.6552,0.6618,0.5577
24,0.6876,0.3597,0.2857,0.1587,0.3989,0.4967,0.4293
25,0.8354,0.6117,0.0,0.2889,0.5615,0.6458,0.5488
26,0.7781,0.717,0.5,0.3333,0.5613,0.5796,0.6205
27,0.8264,0.7157,0.5,0.3308,0.6123,0.6059,0.6417
28,0.7056,0.3054,0.6,0.2,0.5011,0.6651,0.4985
29,0.6675,0.8579,0.3333,0.1583,0.538,0.6963,0.5971
30,0.6845,0.499,0.0,0.0,0.5224,0.6567,0.4432
31,0.7315,0.8172,0.0,0.2615,0.6087,0.6837,0.5814
32,0.8227,0.6168,0.0,0.0267,0.5588,0.501,0.4957
33,0.8048,0.589,0.0,0.064,0.5286,0.6188,0.4999
34,0.7323,0.5225,0.0,0.1,0.5727,0.5705,0.4691
35,0.7532,0.6109,0.2,0.08,0.5681,0.5858,0.5203
36,0.7691,0.6116,0.0,0.1,0.5119,0.5341,0.4884
